PREFEITURA MUNICIPAL DE ABADIA DE GOIAS;PREFEITURA MUNICIPAL DE ABADIA DE GOIAS;01613940000119;AV PAU BRASIL;S/N;;JARDIM NOVA ABADIA;ABADIA DE GOIAS;75345000;GO
PREFEITURA MUNICIPAL DE ABADIANIA;PREFEITURA MUNICIPAL DE ABADIANIA;01298330000178;AV GERALDO RODRIGUES DOS SANTOS;712;;CENTRO;ABADIANIA;72940000;GO
PREFEITURA MUNICIPAL DE ACREUNA;PREFEITURA MUNICIPAL DE ACREUNA;02218683000183;AV PIRES ARANTES;14;;CENTRO;ACREUNA;75960000;GO
PREFEITURA MUNICIPAL DE ADELANDIA;PREFEITURA MUNICIPAL DE ADELANDIA;25108291000167;AV ANICUNS;140;;CENTRO;ADELANDIA;76155000;GO
PREFEITURA MUNICIPAL DE AGUA FRIA DE GOIAS;PREFEITURA MUNICIPAL DE AGUA FRIA DE GOIAS;25141292000103;AVENIDA JOAO ORIVE RODRIGUES;01;QD 32;CENTRO;AGUA FRIA DE GOIAS;73780000;GO
PREFEITURA MUNICIPAL DE AGUA LIMPA;PREFEITURA MUNICIPAL DE AGUA LIMPA;01173053000177;RUA ADOLFO ROSA;S/N;;CENTRO;AGUA LIMPA;75665000;GO
PREFEITURA MUNICIPAL DE AGUAS LINDAS DE GOIAS;PREFEITURA MUNICIPAL DE AGUAS LINDAS DE GOIAS;01616520000196;AV II;S/N;AE N 4;JARDIM QUERENCIA;AGUAS LINDAS DE GOIAS;72910001;GO
PREFEITURA MUNICIPAL DE ALEXANIA;PREFEITURA MUNICIPAL DE ALEXANIA;01298975000100;AV BRASILIA;338;;CENTRO;ALEXANIA;72930000;GO
PREFEITURA MUNICIPAL DE ALOANDIA;PREFEITURA MUNICIPAL DE ALOANDIA;01345537000156;PRACA PEDRO CIRIACO DIAS;01;;CENTRO;ALOANDIA;75615000;GO
PREFEITURA MUNICIPAL DE ALTO PARAISO DE GOIAS;PREFEITURA MUNICIPAL DE ALTO PARAISO DE GOIAS;01740455000106;RUA SAO JOSE OPERARIO;SN;;PARAISINHO;ALTO PARAISO DE GOIAS;73770000;GO
PREFEITURA MUNICIPAL DE ALVORADA DO NORTE;PREFEITURA MUNICIPAL DE ALVORADA DO NORTE;02367597000132;AV DONA GERCINA RODRIGUES;S/N;;NOVO IPIRANGA;ALVORADA DO NORTE;73950000;GO
PREFEITURA MUNICIPAL DE AMARALINA;PREFEITURA MUNICIPAL DE AMARALINA;01492098000104;AVENIDA ANTONIO ALIPIO DIAS;03;;CENTRO;AMARALINA;76493000;GO
PREFEITURA MUNICIPAL DE AMERICANO DO BRASIL;PREFEITURA MUNICIPAL DE AMERICANO DO BRASIL;00007344000122;RUA TRES PODERES;S/N;;CENTRO;AMERICANO DO BRASIL;76165000;GO
PREFEITURA MUNICIPAL DE AMORINOPOLIS;PREFEITURA MUNICIPAL DE AMORINOPOLIS;01067073000163;LOC PCA DA MATRIZ;S/N;;CENTRO;AMORINOPOLIS;76140000;GO
PREFEITURA MUNICIPAL DE ANAPOLIS;PREFEITURA MUNICIPAL DE ANAPOLIS;01067479000146;AV BRASIL;200;;CENTRO;ANAPOLIS;75123020;GO
PREFEITURA MUNICIPAL DE ANHANGUERA;PREFEITURA MUNICIPAL DE ANHANGUERA;01127430000131;AVENIDA BELCHIOR DE GODOY;152;;CENTRO;ANHANGUERA;75770000;GO
PREFEITURA MUNICIPAL DE ANICUNS;PREFEITURA MUNICIPAL DE ANICUNS;02262368000153;AV TOCANTINS;S/N;;CENTRO;ANICUNS;76170000;GO
PREFEITURA MUNICIPAL DE APARECIDA DO RIO DOCE;PREFEITURA MUNICIPAL DE APARECIDA DO RIO DOCE;24859316000100;RUA ADALTO FERNANDES;201;;CENTRO;APARECIDA DO RIO DOCE;75827000;GO
PREFEITURA MUNICIPAL DE APORE;PREFEITURA MUNICIPAL DE APORE;02186336000116;R ARY PIMENTA;313;;CENTRO;APORE;75825000;GO
PREFEITURA MUNICIPAL DE ARACU;PREFEITURA MUNICIPAL DE ARACU;01318898000103;RUA PARA;S/N;;CENTRO;ARACU;75410000;GO
PREFEITURA MUNICIPAL DE ARAGARCAS;PREFEITURA MUNICIPAL DE ARAGARCAS;02125227000199;AVN GETULIO VARGAS;06;;CENTRO;ARAGARCAS;76240000;GO
PREFEITURA MUNICIPAL DE ARAGOIANIA;PREFEITURA MUNICIPAL DE ARAGOIANIA;01215474000113;AV BRASILIA;37;;CENTRO;ARAGOIANIA;75330000;GO
PREFEITURA MUNICIPAL DE ARAGUAPAZ;PREFEITURA MUNICIPAL DE ARAGUAPAZ;00163147000100;AVD GOIAS;415;;CENTRO;ARAGUAPAZ;76720000;GO
PREFEITURA MUNICIPAL DE ARENOPOLIS;PREFEITURA MUNICIPAL DE ARENOPOLIS;00007914000184;R GABRIEL RAIMUNDO DE SOUSA;555;;CENTRO;ARENOPOLIS;76235000;GO
PREFEITURA MUNICIPAL DE ARUANA;PREFEITURA MUNICIPAL DE ARUANA;01067081000100;PRACA COUTO MAGALHAES;22;;CENTRO;ARUANA;76710000;GO
